Agnihotri, N.
Aurenhammer, F.
Bandelt, H.-J.
Batagelj, V.
Brown, J.I.
Burr, S.A.
Chepoi, V.
Chung, F. R.K.
Cyvin, S.J.
Dahlmann, A.
Dakic, T.
Dorfler, W.
Eaton, N.
El-Zahar, M.
Erdos, P.
Farber, M.
Feigenbaum, J.
Formann, M.
Gao, G.
Graham, R.L.
Greenwell, D.
Groetschel, M.
Gutman, I.
Gyori, E.
Haddad, R.W.
Hagauer, J.
Haggkvist, R.
Hahn, G.
Hartnell, B.L.
Hell, P.
Hershberger, J.,
Idury, R.M.
Imrich, W.
Izbicki, H.
Jha, P.K.
Klavzar, S.
Kumar, R.
Larose, B.
Laviolette, F.
Lovasz, L.
Miller, D.J.
Milutinovic, U.
Mohar, B.
Mulder, H.M.
Nesetril, J.
Nedela, R.
Neufeld, S.
Neumann-Lara, V.
Nowakowski, R.J.
Nowitz, L.A.
Pareek, C.M.
Pesch, E.
Pisanski, T.
Plummer, M.D.
Poljak, S.
Pollak, H.O.
Prisner, E.
Pultr, A.
Rodl, V.
Rall, D.F.
Rival, I.
Roberts, F.S.
Roth, R.L.
Saks, M.E.
Sauer, N.
Schaffer, A.A.
Schutte, H.
Seifter, N.
Shawe-Taylor, J.
Shearer, J.B.
Slutzki, G.
Skoviera, M.
Skrekovski, R.
Tardif, C.
vande Vel, M.
Wagner, F.
Watkins, M.E.
West, D.B.
White, A.T.
Wilkeit, E.
Winkler, P.M.
Yu, X.,
Zhou, H.
Zhu, X.
Zmazek, B.
Zerovnik, J.
